run,episode,spatial_variance,stability,entropy,collapse,constraint_count,mean_strength
0,0,64671.601562,0.555975,8.440440,0.000000,3,63.333332
0,1,69991.718750,0.696783,8.370926,0.000000,3,57.000000
0,2,62526.574219,0.704318,8.375863,0.000000,3,51.299999
0,3,65312.125000,0.729643,8.393325,0.000000,3,46.169998
0,4,72476.601562,0.747882,8.421705,0.000000,3,41.552998
0,5,61216.390625,0.738394,8.328278,0.000000,3,37.397697
0,6,78252.070312,0.744841,8.419556,0.000000,3,33.657928
0,7,66300.742188,0.655130,8.421933,0.000000,3,30.292135
0,8,66264.359375,0.718397,8.391273,0.000000,3,27.262918
0,9,66337.296875,0.723708,8.414894,0.000000,3,24.536627
